,noise_level,ari,size_mod0,size_mod1,size_mod2,size_mod3,size_mod4,size_mod5,size_mod6,size_mod7,size_mod8,size_mod9,size_mod10,size_mod11,size_mod12,size_mod13,size_mod14,size_mod15,size_mod16,size_mod17,size_mod18,size_mod19
102,0.15000000000000002,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
103,0.15000000000000002,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
104,0.15000000000000002,0.9585796307953386,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,0,2065,1154,1980,1274,0
105,0.15000000000000002,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
106,0.15000000000000002,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
107,0.15000000000000002,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
108,0.15000000000000002,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
109,0.15000000000000002,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
110,0.15000000000000002,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
111,0.15000000000000002,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
112,0.15000000000000002,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
113,0.15000000000000002,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
114,0.15000000000000002,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
115,0.15000000000000002,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
116,0.15000000000000002,0.9816032146319738,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1879,1274,0
117,0.15000000000000002,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
118,0.15000000000000002,0.9692236644185016,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,2432,2156,0,2388,942,1224,1154,1038,1274,841
119,0.15000000000000002,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
120,0.15000000000000002,0.9697338730825316,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,2412,2156,1174,2388,942,1224,0,1038,1274,841
121,0.15000000000000002,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
122,0.15000000000000002,0.9794341954652721,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,0,1224,1154,1980,1274,841
123,0.15000000000000002,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
124,0.15000000000000002,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
